,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__criterion,param_clf__max_depth,param_clf__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_mcc,split1_test_mcc,split2_test_mcc,split3_test_mcc,split4_test_mcc,mean_test_mcc,std_test_mcc,rank_test_mcc
0,40.99646234512329,0.49824985535287647,0.3615691661834717,0.19002894742901275,gini,9,175,"{'clf__criterion': 'gini', 'clf__max_depth': 9, 'clf__n_estimators': 175}",0.9226519337016574,0.919889502762431,0.919889502762431,0.9267955801104972,0.9114799446749654,0.9201412928023964,0.005014550929780214,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.38461538461538464,0.3626373626373626,0.3695652173913043,0.42391304347826086,0.2967032967032967,0.3674868609651218,0.041268512366008085,18,0.5555555555555556,0.532258064516129,0.5396825396825397,0.5954198473282443,0.4576271186440678,0.5361086251453073,0.0449064599455296,18,0.5944366391309295,0.5763669971568901,0.5818077990710174,0.6253910233486345,0.5190570632767425,0.5794119043968429,0.03463391589593901,18
1,47.78176946640015,1.8330235351158466,0.5603489398956298,0.2471555072245484,gini,9,200,"{'clf__criterion': 'gini', 'clf__max_depth': 9, 'clf__n_estimators': 200}",0.930939226519337,0.9074585635359116,0.9240331491712708,0.9212707182320442,0.9183955739972337,0.9204194462911595,0.00770103667475516,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.45054945054945056,0.26373626373626374,0.40217391304347827,0.3804347826086957,0.3516483516483517,0.369708552317248,0.06206544817469856,17,0.6212121212121212,0.41739130434782606,0.5736434108527132,0.5511811023622047,0.5203252032520326,0.5367506284053796,0.06814617021287762,17,0.6461937234718926,0.48835738515537247,0.6082570046949903,0.5907300133172605,0.5671184918974499,0.5801313237073931,0.05264867786406583,17
2,56.75138521194458,4.233048385319048,0.9764860153198243,0.7784691690728169,gini,9,250,"{'clf__criterion': 'gini', 'clf__max_depth': 9, 'clf__n_estimators': 250}",0.9295580110497238,0.9185082872928176,0.9185082872928176,0.9212707182320442,0.9156293222683264,0.920694925227146,0.004777215342246128,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.43956043956043955,0.3516483516483517,0.358695652173913,0.3804347826086957,0.32967032967032966,0.37200191113234593,0.03746613079814582,16,0.6106870229007634,0.5203252032520326,0.528,0.5511811023622047,0.49586776859504134,0.5412122194220085,0.03896941455250854,16,0.6377979274502861,0.5671567442372739,0.5727730450866879,0.5907300133172605,0.5483171793981635,0.5833549818979343,0.0303987937354553,16
3,41.654607915878294,0.5489472010330771,0.2356278896331787,0.12510044949137364,gini,11,175,"{'clf__criterion': 'gini', 'clf__max_depth': 11, 'clf__n_estimators': 175}",0.9323204419889503,0.9212707182320442,0.9171270718232044,0.9226519337016574,0.9266943291839558,0.9240128989859624,0.005157358551832938,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.46153846153846156,0.37362637362637363,0.34782608695652173,0.391304347826087,0.4175824175824176,0.39837553750597227,0.03892615830437023,15,0.631578947368421,0.544,0.5161290322580645,0.5625,0.5891472868217055,0.5686710532896383,0.039456522959564415,15,0.6545059767025537,0.5854584410868521,0.5636202229493872,0.5995448222887643,0.6207037304862476,0.604766638702761,0.03105187282712225,15
4,45.23386845588684,1.1936462788340847,0.2955778121948242,0.2081821894216172,gini,11,200,"{'clf__criterion': 'gini', 'clf__max_depth': 11, 'clf__n_estimators': 200}",0.9406077348066298,0.9240331491712708,0.9212707182320442,0.925414364640884,0.9225449515905948,0.9267741836882848,0.00705555172574288,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.5274725274725275,0.3956043956043956,0.3804347826086957,0.41304347826086957,0.38461538461538464,0.42023411371237457,0.05479249265520546,10,0.6906474820143885,0.5669291338582677,0.5511811023622047,0.5846153846153846,0.5555555555555556,0.5897857316811603,0.051738325437811344,11,0.7027946221354638,0.6033067579694449,0.5907300133172605,0.6168710170629106,0.5943984195945157,0.6216201660159191,0.04157511916600134,11
5,56.03406186103821,1.8731352046334409,0.9947551250457763,0.5650875054386315,gini,11,250,"{'clf__criterion': 'gini', 'clf__max_depth': 11, 'clf__n_estimators': 250}",0.93646408839779,0.9240331491712708,0.9185082872928176,0.925414364640884,0.9225449515905948,0.9253929682186716,0.0059988215148254025,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.4945054945054945,0.3956043956043956,0.358695652173913,0.41304347826086957,0.38461538461538464,0.40929288103201145,0.04611223157767973,14,0.6617647058823529,0.5669291338582677,0.528,0.5846153846153846,0.5555555555555556,0.5793729559823122,0.04511580961939534,14,0.6789730376781756,0.6033067579694449,0.5727730450866879,0.6168710170629106,0.5943984195945157,0.613264455478347,0.03584762872584308,14
6,39.855468606948854,0.9542884926898966,0.5714303493499756,0.23414910886193818,gini,13,175,"{'clf__criterion': 'gini', 'clf__max_depth': 13, 'clf__n_estimators': 175}",0.9378453038674033,0.9337016574585635,0.9323204419889503,0.925414364640884,0.9308437067773168,0.9320250949466236,0.004046488769172078,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.5054945054945055,0.4725274725274725,0.4673913043478261,0.41304347826086957,0.45054945054945056,0.4618012422360248,0.030197100618664936,4,0.6715328467153284,0.6417910447761194,0.6370370370370371,0.5846153846153846,0.6212121212121212,0.6312376868711981,0.028435389101245948,4,0.6869817939496806,0.6627379356730394,0.6586054152690904,0.6168710170629106,0.6461563014511758,0.6542704926811792,0.022913224352678004,4
7,48.93991584777832,1.1271385629323551,0.29082293510437013,0.14195729304295987,gini,13,200,"{'clf__criterion': 'gini', 'clf__max_depth': 13, 'clf__n_estimators': 200}",0.9392265193370166,0.925414364640884,0.9267955801104972,0.9295580110497238,0.9294605809128631,0.930091011210197,0.00483466502527701,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.5164835164835165,0.4065934065934066,0.42391304347826086,0.44565217391304346,0.43956043956043955,0.44644051600573337,0.03754799062019936,9,0.6811594202898551,0.578125,0.5954198473282443,0.6165413533834586,0.6106870229007634,0.6163865287804643,0.03501880103074608,9,0.6949215080954732,0.6120736062966032,0.6253910233486345,0.6421643649526169,0.6377603080663969,0.642462162151945,0.02824559151036351,9
8,60.62876648902893,1.993672015164379,0.346638822555542,0.3018971770522202,gini,13,250,"{'clf__criterion': 'gini', 'clf__max_depth': 13, 'clf__n_estimators': 250}",0.9406077348066298,0.9267955801104972,0.93646408839779,0.9267955801104972,0.9266943291839558,0.931471462521874,0.00591517607474806,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.5274725274725275,0.4175824175824176,0.5,0.42391304347826086,0.4175824175824176,0.45731008122312466,0.04694067463449311,7,0.6906474820143885,0.5891472868217055,0.6666666666666666,0.5954198473282443,0.5891472868217055,0.6262057139305421,0.0435528501756281,7,0.7027946221354638,0.6207416686025364,0.6826981003087614,0.6253910233486345,0.6207037304862476,0.6504658289763288,0.03514335215219507,7
9,34.42335023880005,4.144832092703429,0.31124105453491213,0.24446773233784164,entropy,9,175,"{'clf__criterion': 'entropy', 'clf__max_depth': 9, 'clf__n_estimators': 175}",0.9392265193370166,0.9185082872928176,0.925414364640884,0.9212707182320442,0.9253112033195021,0.925946218564453,0.00713071702603624,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.5164835164835165,0.3516483516483517,0.41304347826086957,0.3804347826086957,0.4065934065934066,0.413640707118968,0.055807437003282195,13,0.6811594202898551,0.5203252032520326,0.5846153846153846,0.5511811023622047,0.578125,0.5830812221038955,0.054041070110109314,13,0.6949215080954732,0.5671567442372739,0.6168710170629106,0.5907300133172605,0.6120355476716616,0.616342966076916,0.043055145394832225,13
10,43.72786598205566,0.7881755120842294,0.33344388008117676,0.09949091651919846,entropy,9,200,"{'clf__criterion': 'entropy', 'clf__max_depth': 9, 'clf__n_estimators': 200}",0.9337016574585635,0.9226519337016574,0.9267955801104972,0.9281767955801105,0.9225449515905948,0.9267741836882847,0.004119150879787098,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.4725274725274725,0.38461538461538464,0.42391304347826086,0.43478260869565216,0.38461538461538464,0.420090778786431,0.033157423323080755,11,0.6417910447761194,0.5555555555555556,0.5954198473282443,0.6060606060606061,0.5555555555555556,0.5908765218552162,0.03267607131971936,10,0.6627379356730394,0.5944366391309295,0.6253910233486345,0.6338209211452103,0.5943984195945157,0.6221569877784658,0.025815791664944333,10
11,50.06652836799621,0.7030427930310065,0.5453495979309082,0.24524153382900638,entropy,9,250,"{'clf__criterion': 'entropy', 'clf__max_depth': 9, 'clf__n_estimators': 250}",0.9337016574585635,0.9212707182320442,0.9281767955801105,0.9240331491712708,0.9239280774550485,0.9262220795794075,0.004343612348360668,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.4725274725274725,0.37362637362637363,0.43478260869565216,0.40217391304347827,0.3956043956043956,0.4157429526994744,0.03449775860669094,12,0.6417910447761194,0.544,0.6060606060606061,0.5736434108527132,0.5669291338582677,0.5864848391095412,0.03404196374673409,12,0.6627379356730394,0.5854584410868521,0.6338209211452103,0.6082570046949903,0.6032686053668133,0.618708581593381,0.026907868725135335,12
12,39.77068958282471,2.4066086716832964,0.3162519931793213,0.30274962536676325,entropy,11,175,"{'clf__criterion': 'entropy', 'clf__max_depth': 11, 'clf__n_estimators': 175}",0.9378453038674033,0.930939226519337,0.9281767955801105,0.9281767955801105,0.9294605809128631,0.9309197404919649,0.0036094445009917267,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.5054945054945055,0.45054945054945056,0.43478260869565216,0.43478260869565216,0.43956043956043955,0.45303392259913994,0.02685531985543515,8,0.6715328467153284,0.6212121212121212,0.6060606060606061,0.6060606060606061,0.6106870229007634,0.623110640589885,0.02483573253708188,8,0.6869817939496806,0.6461937234718926,0.6338209211452103,0.6338209211452103,0.6377603080663969,0.6477155335556782,0.020146375028165284,8
13,45.767329168319705,2.060871004046334,0.36863059997558595,0.27149216747496785,entropy,11,200,"{'clf__criterion': 'entropy', 'clf__max_depth': 11, 'clf__n_estimators': 200}",0.9392265193370166,0.9240331491712708,0.9378453038674033,0.930939226519337,0.9280774550484094,0.9320243307886875,0.005768353499845759,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.5164835164835165,0.3956043956043956,0.5108695652173914,0.45652173913043476,0.42857142857142855,0.4616101290014334,0.04671570397400982,6,0.6811594202898551,0.5669291338582677,0.6762589928057554,0.6268656716417911,0.6,0.6302426437191339,0.04391957306270219,6,0.6949215080954732,0.6033067579694449,0.6905883061512822,0.650424786902421,0.6292773434165124,0.6537037405070267,0.035232461759572085,6
14,52.261674118041995,1.3105675043481275,0.3165400981903076,0.20023431020494606,entropy,11,250,"{'clf__criterion': 'entropy', 'clf__max_depth': 11, 'clf__n_estimators': 250}",0.93646408839779,0.9295580110497238,0.9350828729281768,0.930939226519337,0.9294605809128631,0.9323009559615782,0.0029160424541212096,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.4945054945054945,0.43956043956043955,0.4891304347826087,0.45652173913043476,0.43956043956043955,0.4638557095078834,0.02371720246255134,3,0.6617647058823529,0.6106870229007634,0.656934306569343,0.6268656716417911,0.6106870229007634,0.6333877459790027,0.022058447267207383,3,0.6789730376781756,0.6377979274502861,0.674739282854579,0.650424786902421,0.6377603080663969,0.6559390685903718,0.01774253322896484,3
15,37.70715179443359,1.1889669931657054,0.19711437225341796,0.12151183321687287,entropy,13,175,"{'clf__criterion': 'entropy', 'clf__max_depth': 13, 'clf__n_estimators': 175}",0.9406077348066298,0.9267955801104972,0.9323204419889503,0.93646408839779,0.9336099585062241,0.9339595607620182,0.004573891727416377,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.5274725274725275,0.4175824175824176,0.4673913043478261,0.5,0.4725274725274725,0.4769947443860487,0.0366585747836341,2,0.6906474820143885,0.5891472868217055,0.6370370370370371,0.6666666666666666,0.6417910447761194,0.6450579034631834,0.03390089095229903,2,0.7027946221354638,0.6207416686025364,0.6586054152690904,0.6826981003087614,0.6627009824300615,0.6655081577491827,0.027369111016496608,2
16,39.089700269699094,1.4944171800268347,0.09164810180664062,0.008020573685325862,entropy,13,200,"{'clf__criterion': 'entropy', 'clf__max_depth': 13, 'clf__n_estimators': 200}",0.9419889502762431,0.9267955801104972,0.9350828729281768,0.925414364640884,0.9308437067773168,0.9320250949466236,0.0060178680247597,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.5384615384615384,0.4175824175824176,0.4891304347826087,0.41304347826086957,0.45054945054945056,0.461753463927377,0.04708057176067287,5,0.7,0.5891472868217055,0.656934306569343,0.5846153846153846,0.6212121212121212,0.6303818198437108,0.043429626384840124,5,0.7106034512703023,0.6207416686025364,0.674739282854579,0.6168710170629106,0.6461563014511758,0.6538223442483007,0.035157111170891674,5
17,37.643656730651855,3.5613347317307027,0.052938652038574216,0.016678988600248214,entropy,13,250,"{'clf__criterion': 'entropy', 'clf__max_depth': 13, 'clf__n_estimators': 250}",0.9419889502762431,0.9281767955801105,0.93646408839779,0.930939226519337,0.9336099585062241,0.9342358038559408,0.004754938847948364,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.5384615384615384,0.42857142857142855,0.5,0.45652173913043476,0.4725274725274725,0.47921643573817485,0.037594273430932544,1,0.7,0.6,0.6666666666666666,0.6268656716417911,0.6417910447761194,0.6470646766169154,0.03416805893056983,1,0.7106034512703023,0.6293151349707335,0.6826981003087614,0.650424786902421,0.6627009824300615,0.6671484911764559,0.027788304595311182,1
